lambda_penalty,omega_n,zeta,n_rollouts,discounted_task_return_mean,discounted_task_return_std,discounted_train_return_mean,discounted_train_return_std,discounted_theta_variation_mean,discounted_theta_variation_std,theta_variation_sum_mean,theta_variation_sum_std,success_rate,final_distance_mean,final_distance_std,mean_abs_theta_tracking_error_mean,mean_abs_theta_tracking_error_std,mean_motor_pair_clip_abs_sum_mean,mean_motor_pair_clip_abs_sum_std,model_dir
0.0,4.0,1.0,333,465.90860085815206,74.85764901247379,465.90860085815206,74.85764901247379,3.3164706217486057,0.20304596071537448,16.058328808314663,0.5114293165610532,1.0,0.14727926679319342,0.021579594776006347,0.2927276036116771,0.005310106658655013,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,6.0,1.0,333,567.5020315152572,53.80233344348968,567.5020315152572,53.80233344348968,2.538091059966379,0.13867721134760613,7.8407309892036965,0.2836757555261268,1.0,0.009947178185646706,0.0018661112835012346,0.11710216605438821,0.0023315141994626793,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,8.0,1.0,333,598.6004357978975,33.65566563183901,598.6004357978975,33.65566563183901,2.0408664068079947,0.13164763701130347,3.8087807140458487,0.13779290785525386,1.0,0.015655982949971267,7.022738648062283e-05,0.04999012298245543,0.002604612322906805,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,10.0,1.0,333,612.0103335953074,26.409882217731454,612.0103335953074,26.409882217731454,1.8322989425534053,0.13511698414539378,2.8640161295312088,0.13472784009320157,1.0,0.015634570004531306,2.2803363599219884e-05,0.03167719170319628,0.002445812714218987,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,12.0,1.0,333,619.3906307092178,24.31896153623132,619.3906307092178,24.31896153623132,1.7218561864666482,0.13500341825340184,2.51152938434233,0.136874989593482,1.0,0.01563506979693393,2.1262544774713703e-05,0.023487708427746824,0.002046036345371571,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
2.0,4.0,1.0,333,375.6518244270519,82.41963959084912,371.83261655083163,82.42486064706254,1.909603938110121,0.046334215564896655,7.854771219201321,0.14377470146381313,1.0,0.0339110305625149,0.012413290694276012,0.1525541700460196,0.0014222260560185097,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,6.0,1.0,333,439.55986484200935,67.25064570775525,436.0913632617211,67.28767828920392,1.734250790144114,0.051441269379400835,6.605023335058217,0.08682251538236617,1.0,0.04850830966033131,0.017047362207318097,0.10131958758201602,0.0011692819858397372,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,8.0,1.0,333,483.76333252092167,53.910706052519416,480.82167429885953,53.96715326485382,1.4708291110310348,0.06012246914371408,4.311457229830797,0.04797275537129172,1.0,0.032894942785741545,0.0027145793932498202,0.05558436531055795,0.0005872970977904102,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,10.0,1.0,333,507.26659190232033,42.14264905116154,504.75425576991745,42.21951984134277,1.25616806620145,0.07221348857004685,2.566406546955002,0.05944337644557827,1.0,0.03654228745033619,0.000309617328176002,0.02836509755886926,0.0006597407566161366,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,12.0,1.0,333,520.279549306906,35.810713172834035,517.9994579179333,35.89926010059205,1.1400456944863329,0.08246795474398734,1.934383778498303,0.0779617894520869,1.0,0.03667752004913151,4.831520006932998e-05,0.018282753391330342,0.0007071117856981787,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
