lambda_penalty,omega_n,zeta,n_rollouts,discounted_task_return_mean,discounted_task_return_std,discounted_train_return_mean,discounted_train_return_std,discounted_theta_variation_mean,discounted_theta_variation_std,theta_variation_sum_mean,theta_variation_sum_std,success_rate,final_distance_mean,final_distance_std,mean_abs_theta_tracking_error_mean,mean_abs_theta_tracking_error_std,mean_motor_pair_clip_abs_sum_mean,mean_motor_pair_clip_abs_sum_std,model_dir
0.0,4.0,0.4,333,-40.009353171875986,8.155379275212214,-40.009353171875986,8.155379275212214,4.6539398203182625,0.15889399768741305,17.384246096775698,0.3093309461941926,0.03003003003003003,5.774558880918107,0.18683830245845343,0.7034740897353927,0.014310925281832964,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,6.0,0.4,333,-17.39927255124043,46.33912698842002,-17.39927255124043,46.33912698842002,5.335057865580729,0.47078110201093043,23.0136971897783,0.8942358352467294,0.24924924924924924,2.9287309045497003,0.15949407144454808,0.6624278312907916,0.02820191060848121,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,8.0,0.4,333,251.68450142240354,45.15572980483067,251.68450142240354,45.15572980483067,4.612912614759744,0.5320553549829549,25.136879286574278,1.133725007311945,1.0,2.641896301714946,0.02081771224250023,0.5702771174240091,0.02864634719572961,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,10.0,0.4,333,347.8115786705249,7.126757800828611,347.8115786705249,7.126757800828611,4.4268851387312065,0.2673512532074031,28.08717412207617,0.5474613812012817,1.0,2.294095563113109,0.013795174878745164,0.521553970233211,0.011922194911005058,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,12.0,0.4,333,403.5757673158411,17.61918648825332,403.5757673158411,17.61918648825332,4.409421513794782,0.15378174115577053,30.07401935163607,0.3846051026584685,1.0,1.7345181739968512,0.015719822470700952,0.4771876057601395,0.004653406169784874,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
2.0,4.0,0.4,333,132.53978388191788,43.339207204745996,127.05299549335429,43.53670627123671,2.743394194281811,0.11357908198204172,12.12773378648919,0.19201157966943688,1.0,1.0098208585548953,0.04405344781233415,0.4731111241226627,0.007704542373004789,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,6.0,0.4,333,195.1844446415393,52.089475703650024,189.76655610542693,52.21753096752538,2.7089442680562033,0.1460882313685038,13.532059501778257,0.1756619235459974,1.0,0.8696034270867297,0.04931563151926958,0.3944595834570735,0.007904188785325473,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,8.0,0.4,333,318.22760874179005,22.200390986879977,313.43313569851233,22.20913717610692,2.3972365216388622,0.14493746281181244,13.79082551736915,0.16006098173277694,1.0,0.6443735849911725,0.030958477102084367,0.3161147737677844,0.006508693663519151,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,10.0,0.4,333,364.0403655598406,22.498485742384986,359.51324583765813,22.563596489837177,2.2635598610912417,0.10591349088871437,13.757592059576112,0.17914723491251644,1.0,0.40402774975329936,0.014544273641864829,0.25876461699681674,0.0035518013403545903,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,12.0,0.4,333,447.0232869521287,24.424191984261423,442.9400439660134,24.477603706451443,2.0416214930576477,0.10305415538739543,12.344787377584119,0.16848645669991552,1.0,0.2436203941077755,0.012107195786032554,0.19432801854657972,0.0017207360219066005,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
