lambda_penalty,omega_n,zeta,n_rollouts,discounted_task_return_mean,discounted_task_return_std,discounted_train_return_mean,discounted_train_return_std,discounted_theta_variation_mean,discounted_theta_variation_std,theta_variation_sum_mean,theta_variation_sum_std,success_rate,final_distance_mean,final_distance_std,mean_abs_theta_tracking_error_mean,mean_abs_theta_tracking_error_std,mean_motor_pair_clip_abs_sum_mean,mean_motor_pair_clip_abs_sum_std,model_dir
0.0,4.0,0.3,333,-50.55102914191169,10.97466912733829,-50.55102914191169,10.97466912733829,4.368690617008412,0.16760931338872628,13.730540244925386,2.7667239389695206,0.0,7.401522881643123,3.9588546747130247,0.6848718264543089,0.11501600636285858,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,6.0,0.3,333,-46.800184119888826,4.50235911629495,-46.800184119888826,4.50235911629495,5.773799755943089,0.47504524146264654,19.37194165917907,3.9889331628350226,0.006006006006006006,6.404187989420757,1.6342024027528048,0.6560906794417499,0.12656221887840538,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,8.0,0.3,333,92.64139631686042,123.7694215884142,92.64139631686042,123.7694215884142,4.855541340100157,1.0503896916232804,19.12393254200694,3.2442234005672854,0.7237237237237237,1.2286339466044958,1.7179488489302017,0.5075293705817792,0.10475490780377893,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,10.0,0.3,333,273.6566878620747,61.48421253623091,273.6566878620747,61.48421253623091,4.345406765749037,0.5611882172805023,23.048712671284115,1.5918236110883854,1.0,2.023233287907285,0.9626134999033549,0.5245585838736511,0.04422384057002287,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
0.0,12.0,0.3,333,292.6004812529325,26.40534813882975,292.6004812529325,26.40534813882975,4.787575525281125,0.26576441376019644,27.347214944213313,0.5344477768405879,1.0,3.5458761384097914,0.060378854842298074,0.5481742177815937,0.013371512326368448,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_0_lambda_sweep_lam_0p0_20260522_235627
2.0,4.0,0.3,333,4.7250924244445764,36.23957240924451,-1.2531115582451142,36.57966515908643,2.989101991344846,0.18375277678851834,12.02035639579226,0.36118534972766625,0.7567567567567568,3.3058743256363834,0.08489966495539224,0.5862762792434819,0.01918483154191695,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,6.0,0.3,333,57.30710687870394,68.34806276575,50.981672729714184,68.7676516640735,3.1627170744948803,0.2273349069771797,14.867211299684975,0.4682985081104743,0.9279279279279279,2.4125019127365253,0.022104320731898004,0.5279846895100818,0.01851109774218545,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,8.0,0.3,333,268.86169227953434,26.366261898174066,263.76436432965284,26.40809371590168,2.5486639749407503,0.20384725484074864,15.220718558484323,0.2801896388277772,1.0,1.7080429024943007,0.020251983799940962,0.42252546123175566,0.00976229067585204,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,10.0,0.3,333,307.03968113303034,24.045154484730556,301.90831921189636,24.209920683313076,2.565680960567005,0.1408559898655395,16.49638592365277,0.1498712891154184,1.0,1.2279115474593965,0.02412267614834383,0.3869765885263053,0.004937940119895565,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
2.0,12.0,0.3,333,343.7853477174278,24.18451729663859,338.8541636757198,24.270135062368862,2.4655920208539945,0.10499203081405806,16.3140628892899,0.1988445885144881,1.0,0.8455357243184097,0.014864612616011472,0.32504514966759,0.0023597727782294618,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_2_lambda_sweep_lam_2p0_20260523_001121
